Script started on Mon 09 May 2011 01:32:48 PM EDT
]0;mgreen@virtualbuntu: ~/dropbox/school/intro_Unix/final[01;32mmgreen@virtualbuntu[00m:[01;34m~/dropbox/school/intro_Unix/final[00m$ ls
[0m[01;32mcomponents.py[0m   [01;32mECE2524_Final-1.pdf[0m  [34;42mngspice-22[0m         [01;32moutput.dat[0m   [01;32mseries_rlc.cir[0m
[01;32mcomponents.pyc[0m  [01;32mmyspice.py[0m           [01;32mngspice-22.tar.gz[0m  [01;32mreports.txt[0m  [01;32mtypescript[0m
]0;mgreen@virtualbuntu: ~/dropbox/school/intro_Unix/final[01;32mmgreen@virtualbuntu[00m:[01;34m~/dropbox/school/intro_Unix/final[00m$ cd[K[Ksudoa ptg-[K[K[K[K[K[K apt-get int[Kstall autoconf libtools libx11-dev libxaw7-dev
[sudo] password for mgreen: 
Reading package lists... 0%Reading package lists... 0%Reading package lists... 4%Reading package lists... Done
Building dependency tree... 0%Building dependency tree... 0%Building dependency tree... 0%Building dependency tree... 50%Building dependency tree... 50%Building dependency tree       
Reading state information... 0%Reading state information... 0%Reading state information... Done
E: Unable to locate package libtools
]0;mgreen@virtualbuntu: ~/dropbox/school/intro_Unix/final[01;32mmgreen@virtualbuntu[00m:[01;34m~/dropbox/school/intro_Unix/final[00m$ sudo apt-get install autoconf libtools libx11-dev libxaw7-dev[1P
Reading package lists... 0%Reading package lists... 100%Reading package lists... Done
Building dependency tree... 0%Building dependency tree... 0%Building dependency tree... 50%Building dependency tree... 50%Building dependency tree       
Reading state information... 0%Reading state information... 0%Reading state information... Done
autoconf is already the newest version.
libtool is already the newest version.
libx11-dev is already the newest version.
libxaw7-dev is already the newest version.
0 upgraded, 0 newly installed, 0 to remove and 0 not upgraded.
]0;mgreen@virtualbuntu: ~/dropbox/school/intro_Unix/final[01;32mmgreen@virtualbuntu[00m:[01;34m~/dropbox/school/intro_Unix/final[00m$ wget http://downloads.sourceforge.net/project/ngspice/ng-spice-rework/22/ngspice-22.tar. gz
--2011-05-09 13:34:11--  http://downloads.sourceforge.net/project/ngspice/ng-spice-rework/22/ngspice-22.tar.gz
Resolving downloads.sourceforge.net... 216.34.181.59
Connecting to downloads.sourceforge.net|216.34.181.59|:80... connected.
HTTP request sent, awaiting response... 302 Found
Location: http://superb-sea2.dl.sourceforge.net/project/ngspice/ng-spice-rework/22/ngspice-22.tar.gz [following]
--2011-05-09 13:34:11--  http://superb-sea2.dl.sourceforge.net/project/ngspice/ng-spice-rework/22/ngspice-22.tar.gz
Resolving superb-sea2.dl.sourceforge.net... 209.160.57.180
Connecting to superb-sea2.dl.sourceforge.net|209.160.57.180|:80... connected.
HTTP request sent, awaiting response... 200 OK
Length: 6022305 (5.7M) [application/x-gzip]
Saving to: `ngspice-22.tar.gz.1'

 0% [                                                                                                      ] 0           --.-K/s               0% [                                                                                                      ] 15,840      71.8K/s               1% [>                                                                                                     ] 90,720       213K/s               2% [=>                                                                                                    ] 125,824      185K/s               2% [=>                                                                                                    ] 158,944      150K/s               3% [==>                                                                                                   ] 203,040      155K/s               4% [===>                                                                                                  ] 272,160      174K/s               5% [====>                                                                                                 ] 345,600      188K/s               7% [======>                                                                                               ] 440,640      212K/s               8% [=======>                                                                                              ] 498,240      213K/s               9% [========>                                                                                             ] 554,400      213K/s              10% [=========>                                                                                            ] 612,000      214K/s              11% [==========>                                                                                           ] 678,240      217K/s  eta 24s     12% [===========>                                                                                          ] 764,640      226K/s  eta 24s     13% [=============>                                                                                        ] 830,880      228K/s  eta 24s     14% [=============>                                                                                        ] 851,040      220K/s  eta 24s     15% [==============>                                                                                       ] 934,560      234K/s  eta 24s     16% [================>                                                                                     ] 1,008,000    238K/s  eta 21s     18% [=================>                                                                                    ] 1,085,760    258K/s  eta 21s     19% [==================>                                                                                   ] 1,162,080    271K/s  eta 21s     20% [====================>                                                                                 ] 1,244,160    270K/s  eta 21s     22% [=====================>                                                                                ] 1,330,560    275K/s  eta 19s     23% [======================>                                                                               ] 1,414,080    269K/s  eta 19s     25% [========================>                                                                             ] 1,509,120    280K/s  eta 19s     26% [==========================>                                                                           ] 1,605,600    292K/s  eta 19s     27% [===========================>                                                                          ] 1,670,400    294K/s  eta 19s     28% [============================>                                                                         ] 1,740,960    300K/s  eta 16s     29% [=============================>                                                                        ] 1,798,560    301K/s  eta 16s     30% [==============================>                                                                       ] 1,847,520    295K/s  eta 16s     31% [===============================>                                                                      ] 1,900,800    295K/s  eta 16s     32% [================================>                                                                     ] 1,967,040    308K/s  eta 16s     33% [=================================>                                                                    ] 2,016,000    304K/s  eta 15s     34% [==================================>                                                                   ] 2,082,240    301K/s  eta 15s     35% [===================================>                                                                  ] 2,160,000    299K/s  eta 15s     36% [====================================>                                                                 ] 2,219,584    291K/s  eta 15s     38% [=====================================>                                                                ] 2,298,240    292K/s  eta 14s     39% [=======================================>                                                              ] 2,370,240    288K/s  eta 14s     40% [========================================>                                                             ] 2,449,440    288K/s  eta 14s     42% [=========================================>                                                            ] 2,534,400    285K/s  eta 14s     43% [===========================================>                                                          ] 2,609,280    278K/s  eta 13s     44% [============================================>                                                         ] 2,700,000    275K/s  eta 13s     46% [==============================================>                                                       ] 2,784,960    279K/s  eta 13s     47% [===============================================>                                                      ] 2,861,280    284K/s  eta 13s     48% [================================================>                                                     ] 2,949,120    289K/s  eta 11s     50% [==================================================>                                                   ] 3,057,664    277K/s  eta 11s     52% [====================================================>                                                 ] 3,178,080    291K/s  eta 11s     53% [=====================================================>                                                ] 3,228,480    286K/s  eta 10s     55% [=======================================================>                                              ] 3,342,784    298K/s  eta 10s     56% [========================================================>                                             ] 3,405,248    276K/s  eta 10s     59% [===========================================================>                                          ] 3,578,400    301K/s  eta 9s      60% [============================================================>                                         ] 3,643,200    296K/s  eta 9s      61% [=============================================================>                                        ] 3,708,000    293K/s  eta 9s      62% [==============================================================>                                       ] 3,772,800    294K/s  eta 9s      63% [===============================================================>                                      ] 3,824,640    286K/s  eta 9s      64% [=================================================================>                                    ] 3,900,064    287K/s  eta 8s      65% [==================================================================>                                   ] 3,962,880    282K/s  eta 8s      67% [===================================================================>                                  ] 4,037,760    284K/s  eta 8s      68% [====================================================================>                                 ] 4,096,800    279K/s  eta 8s      69% [=====================================================================>                                ] 4,160,160    296K/s  eta 8s      70% [======================================================================>                               ] 4,237,920    282K/s  eta 6s      71% [=======================================================================>                              ] 4,304,160    294K/s  eta 6s      72% [========================================================================>                             ] 4,368,960    290K/s  eta 6s      74% [==========================================================================>                           ] 4,461,120    296K/s  eta 6s      75% [============================================================================>                         ] 4,564,800    324K/s  eta 6s      76% [=============================================================================>                        ] 4,632,128    293K/s  eta 5s      78% [==============================================================================>                       ] 4,701,600    297K/s  eta 5s      79% [===============================================================================>                      ] 4,779,360    299K/s  eta 5s      80% [=================================================================================>                    ] 4,842,720    301K/s  eta 5s      81% [=================================================================================>                    ] 4,896,000    302K/s  eta 5s      82% [==================================================================================>                   ] 4,950,720    300K/s  eta 4s      83% [===================================================================================>                  ] 5,004,000    293K/s  eta 4s      84% [====================================================================================>                 ] 5,068,800    292K/s  eta 4s      85% [======================================================================================>               ] 5,149,440    290K/s  eta 4s      86% [=======================================================================================>              ] 5,230,080    293K/s  eta 3s      87% [========================================================================================>             ] 5,299,200    290K/s  eta 3s      89% [=========================================================================================>            ] 5,366,880    287K/s  eta 3s      90% [===========================================================================================>          ] 5,447,520    284K/s  eta 3s      91% [============================================================================================>         ] 5,516,640    274K/s  eta 2s      92% [=============================================================================================>        ] 5,598,720    273K/s  eta 2s      94% [===============================================================================================>      ] 5,675,040    279K/s  eta 2s      95% [================================================================================================>     ] 5,754,240    278K/s  eta 2s      96% [=================================================================================================>    ] 5,829,120    283K/s  eta 2s      98% [==================================================================================================>   ] 5,902,560    288K/s  eta 0s      99% [====================================================================================================> ] 5,964,480    292K/s  eta 0s      100%[=====================================================================================================>] 6,022,305    298K/s   in 21s     

2011-05-09 13:34:32 (281 KB/s) - `ngspice-22.tar.gz.1' saved [6022305/6022305]

]0;mgreen@virtualbuntu: ~/dropbox/school/intro_Unix/final[01;32mmgreen@virtualbuntu[00m:[01;34m~/dropbox/school/intro_Unix/final[00m$ tar -xvvf ngspice-22g[K-[K.tar.gz 
drwxrwxrwx 0/0               0 2010-10-04 17:33 ngspice-22/
-rwxr-xr-x 0/0           46550 2010-10-04 17:32 ngspice-22/config.guess
drwxrwxrwx 0/0               0 2010-10-04 17:32 ngspice-22/m4/
-rw-r--r-- 0/0               0 2010-09-23 14:50 ngspice-22/m4/.cvsignore
-rw-r--r-- 0/0             701 2010-10-04 17:32 ngspice-22/m4/ltversion.m4
-rw-r--r-- 0/0          259710 2010-10-04 17:32 ngspice-22/m4/libtool.m4
drwxrwxrwx 0/0               0 2010-10-04 17:30 ngspice-22/m4/CVS/
